k2time,count,eflux,filt,upperlimit,time,flux
3328.87868,3061.212574,19.828321,kepler,F,58161.37868,25.9582286399986
3328.899113,3058.412241,19.839069,kepler,F,58161.399113,23.1578956399985
3328.919547,3036.509001,19.80889,kepler,F,58161.419547,1.25465563999842
3328.939981,3046.776946,19.816699,kepler,F,58161.439981,11.5226006399985
3328.960414,3063.701636,19.849356,kepler,F,58161.460414,28.4472906399983
3328.980848,3039.237165,19.817544,kepler,F,58161.480848,3.98281963999852
3329.001281,3033.965377,19.806224,kepler,F,58161.501281,-1.28896836000149
3329.021715,3050.474895,19.830455,kepler,F,58161.521715,15.2205496399984
3329.042149,3050.154171,19.826393,kepler,F,58161.542149,14.8998256399987
3329.062582,3033.264642,19.812857,kepler,F,58161.562582,-1.98970336000139
3329.083016,3050.96991,19.825824,kepler,F,58161.583016,15.7155646399983
3329.144317,3031.215333,19.80283,kepler,F,58161.644317,-4.03901236000138
3329.16475,3018.471245,19.787997,kepler,F,58161.66475,-16.7831003600013
3329.185184,3020.132612,19.7789,kepler,F,58161.685184,-15.1217333600016
3329.205617,3031.703814,19.79239,kepler,F,58161.705617,-3.55053136000151
3329.226051,3044.117165,19.80881,kepler,F,58161.726051,8.86281963999863
3329.246485,3038.878275,19.809089,kepler,F,58161.746485,3.62392963999855
3329.266918,3060.354602,19.819303,kepler,F,58161.766918,25.1002566399984
3329.287352,2998.636424,19.762783,kepler,F,58161.787352,-36.6179213600017
3329.328219,3056.641721,19.824986,kepler,F,58161.828219,21.3873756399985
3329.348653,3041.169106,19.817484,kepler,F,58161.848653,5.91476063999835
3329.369086,3030.38873,19.796028,kepler,F,58161.869086,-4.86561536000136
3329.38952,3035.662277,19.799969,kepler,F,58161.88952,0.407931639998424
3329.409953,3028.39998,19.796708,kepler,F,58161.909953,-6.85436536000134
3329.430387,3040.424946,19.805344,kepler,F,58161.930387,5.17060063999861
3329.450821,3055.085927,19.821216,kepler,F,58161.950821,19.8315816399986
3329.471254,3049.664603,19.812755,kepler,F,58161.971254,14.4102576399987
3329.491688,3033.180844,19.784435,kepler,F,58161.991688,-2.0735013600015
3329.512121,3048.849201,19.812888,kepler,F,58162.012121,13.5948556399985
3329.532555,3038.706489,19.806226,kepler,F,58162.032555,3.45214363999867
3329.552989,3029.379591,19.79292,kepler,F,58162.052989,-5.87475436000159
3329.573422,3036.61131,19.792137,kepler,F,58162.073422,1.3569646399983
3329.593856,3031.791594,19.790699,kepler,F,58162.093856,-3.46275136000168
3329.614289,3058.314365,19.816897,kepler,F,58162.114289,23.0600196399987
3329.634723,3044.424205,19.80956,kepler,F,58162.134723,9.16985963999832
3329.655157,3040.55264,19.79688,kepler,F,58162.155157,5.2982946399984
3329.67559,3033.521072,19.796335,kepler,F,58162.17559,-1.73327336000148
3329.696024,3041.548109,19.791978,kepler,F,58162.196024,6.29376363999836
3329.716457,3086.322984,19.848586,kepler,F,58162.216457,51.0686386399984
3329.736891,3030.068059,19.780053,kepler,F,58162.236891,-5.1862863600013
3329.757325,3036.753201,19.779549,kepler,F,58162.257325,1.49885563999851
3329.777758,3036.972884,19.795985,kepler,F,58162.277758,1.71853863999831
3329.798192,3040.32587,19.790662,kepler,F,58162.298192,5.07152463999864
3329.818625,3037.9608,19.78687,kepler,F,58162.318625,2.70645463999836
3329.839059,3039.529718,19.796687,kepler,F,58162.339059,4.2753726399983
3329.859493,3018.042801,19.774568,kepler,F,58162.359493,-17.2115443600014
3329.879926,3029.887973,19.778627,kepler,F,58162.379926,-5.36637236000161
3329.90036,3045.837926,19.789054,kepler,F,58162.40036,10.5835806399987
3329.920793,3038.490094,19.783767,kepler,F,58162.420793,3.23574863999875
3329.941227,3051.246884,19.79705,kepler,F,58162.441227,15.9925386399987
3329.961661,3027.248609,19.780627,kepler,F,58162.461661,-8.00573636000127
3329.982094,3034.279652,19.784848,kepler,F,58162.482094,-0.974693360001311
3330.002528,3026.129675,19.768114,kepler,F,58162.502528,-9.12467036000135
3330.022961,2963.135584,19.70544,kepler,F,58162.522961,-72.1187613600014
3330.043395,3032.878621,19.779264,kepler,F,58162.543395,-2.37572436000164
3330.063829,3048.715569,19.792255,kepler,F,58162.563829,13.4612236399985
3330.084262,3038.707728,19.772595,kepler,F,58162.584262,3.45338263999838
3330.104696,3029.930847,19.766519,kepler,F,58162.604696,-5.3234983600014
3330.125129,3056.840237,19.802894,kepler,F,58162.625129,21.5858916399984
3330.145563,3050.670168,19.793633,kepler,F,58162.645563,15.4158226399986
3330.165997,3041.277831,19.781278,kepler,F,58162.665997,6.0234856399984
3330.18643,3017.38646,19.759074,kepler,F,58162.68643,-17.8678853600013
3330.206864,3033.695174,19.775489,kepler,F,58162.706864,-1.55917136000153
3330.227297,3024.228084,19.780636,kepler,F,58162.727297,-11.0262613600016
3330.247731,3053.966373,19.792997,kepler,F,58162.747731,18.7120276399987
3330.268165,3052.099098,19.792211,kepler,F,58162.768165,16.8447526399987
3330.288598,3043.210851,19.782666,kepler,F,58162.788598,7.95650563999834
3330.309032,3039.313566,19.779104,kepler,F,58162.809032,4.05922063999833
3330.329466,3058.855323,19.798726,kepler,F,58162.829466,23.6009776399987
3330.349899,3032.79106,19.771008,kepler,F,58162.849899,-2.46328536000146
3330.370333,3028.492486,19.766869,kepler,F,58162.870333,-6.76185936000138
3330.390766,3043.836282,19.777176,kepler,F,58162.890766,8.58193663999873
3330.4112,3050.178612,19.791453,kepler,F,58162.9112,14.9242666399987
3330.431633,3044.328038,19.780561,kepler,F,58162.931633,9.07369263999863
3330.452067,3044.077867,19.779651,kepler,F,58162.952067,8.82352163999849
3330.472501,3047.227147,19.780508,kepler,F,58162.972501,11.9728016399986
3330.492934,3006.404554,19.736384,kepler,F,58162.992934,-28.8497913600013
3330.513368,3097.399484,19.834714,kepler,F,58163.013368,62.1451386399986
3330.533801,3041.669658,19.773568,kepler,F,58163.033801,6.41531263999832
3330.554235,3038.82355,19.767268,kepler,F,58163.054235,3.56920463999859
3330.574669,3058.63074,19.785524,kepler,F,58163.074669,23.3763946399986
